/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/audit.service.ts: line 24, col 19, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/audit.service.ts: line 30, col 19, Warning - 'logEntry' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/audit.service.ts: line 77, col 63, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/backup.service.ts: line 15, col 42, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/credit-analysis.service.ts: line 140, col 15, Warning - 'systemTotalQuotas' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/liquidation.service.ts: line 39, col 72, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/liquidation.service.ts: line 55, col 19, Warning - 'totalQuotasValue' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/notification.service.ts: line 1, col 10, Warning - 'getDbPool' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/notification.service.ts: line 5, col 52, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/notification.service.ts: line 8, col 77, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/notification.service.ts: line 25, col 77, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/application/services/profit-distribution.service.ts: line 12, col 75, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/entities/transaction.entity.ts: line 10, col 14, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/entities/transaction.entity.ts: line 17, col 14, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 1, col 10, Warning - 'Pool' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 5, col 5, Warning - 'PLATFORM_FEE_TAX_SHARE' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 6, col 5, Warning - 'PLATFORM_FEE_OPERATIONAL_SHARE' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 7, col 5, Warning - 'PLATFORM_FEE_OWNER_SHARE' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 8, col 5, Warning - 'PLATFORM_FEE_INVESTMENT_SHARE' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 9, col 5, Warning - 'PLATFORM_FEE_CORPORATE_SHARE' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 11, col 10, Warning - 'AuditService' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 11, col 24, Warning - 'AuditActionType' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 13, col 10, Warning - 'notificationService' is defined but never used. (@typescript-eslint/no-unused-vars)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 85, col 96, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/josias/Área de trabalho/projetos/app cred30/cred30-master/packages/backend/src/domain/services/order.service.ts: line 113, col 66, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
